CONSTITUENCY,STATE,POSTFIX_CODE,INDEX
SIKKIM,SIKKIM,1,360
ARAKKONAM,TAMIL NADU,7,361
ARANI,TAMIL NADU,12,362
CHENNAI CENTRAL,TAMIL NADU,4,363
CHENNAI NORTH,TAMIL NADU,2,364
CHENNAI SOUTH,TAMIL NADU,3,365
CHIDAMBARAM,TAMIL NADU,27,366
COIMBATORE,TAMIL NADU,20,367
CUDDALORE,TAMIL NADU,26,368
DHARMAPURI,TAMIL NADU,10,369
DINDIGUL,TAMIL NADU,22,370
ERODE,TAMIL NADU,17,371
KALLAKURICHI,TAMIL NADU,14,372
KANCHEEPURAM,TAMIL NADU,6,373
KANNIYAKUMARI,TAMIL NADU,39,374
KARUR,TAMIL NADU,23,375
KRISHNAGIRI,TAMIL NADU,9,376
MADURAI,TAMIL NADU,32,377
MAYILADUTHURAI,TAMIL NADU,28,378
NAGAPATTINAM,TAMIL NADU,29,379
NAMAKKAL,TAMIL NADU,16,380
NILGIRIS,TAMIL NADU,19,381
PERAMBALUR,TAMIL NADU,25,382
POLLACHI,TAMIL NADU,21,383
RAMANATHAPURAM,TAMIL NADU,35,384
SALEM,TAMIL NADU,15,385
SIVAGANGA,TAMIL NADU,31,386
SRIPERUMBUDUR,TAMIL NADU,5,387
TENKASI,TAMIL NADU,37,388
THANJAVUR,TAMIL NADU,30,389
THENI,TAMIL NADU,33,390
THOOTHUKKUDI,TAMIL NADU,36,391
TIRUCHIRAPPALLI,TAMIL NADU,24,392
TIRUNELVELI,TAMIL NADU,38,393
TIRUPPUR,TAMIL NADU,18,394
TIRUVALLUR,TAMIL NADU,1,395
TIRUVANNAMALAI,TAMIL NADU,11,396
VELLORE,TAMIL NADU,8,397
VILUPPURAM,TAMIL NADU,13,398
VIRUDHUNAGAR,TAMIL NADU,34,399
ADILABAD,TELANGANA,1,400
BHONGIR,TELANGANA,14,401
CHEVELLA,TELANGANA,10,402
HYDERABAD,TELANGANA,9,403
