CANDIDATE_ID,CANDIDATE_NAME,AGE,CONSTITUENCY,STATE,PARTY,NO_PENDING_CRIMINAL_CASES,EDUCATION,EARNINGS,STATE_LITERACY_RATE,STATE_SEAT_SHARE,PARTY_GRP_IDX,AGE_GROUP_IDX,EDUCATION_GROUP_IDX,DELTA_STATE_VOTER_TURNOUT,NO_OF_PHASES
8489,Tribhovandas Karsandas Vaghela,66,AHMEDABAD WEST,GUJARAT,BSP,0,8th Pass,5354000.0,0.7931,0.048,3,1,0,0.0045,1
10036,Bhitora Bhavesh Chimanbhai,34,AHMEDABAD WEST,GUJARAT,IND,0,12th Pass,45000.0,0.7931,0.048,1,4,2,0.0045,1
9391,Harshadkumar Laxmanbhai Solanki,28,AHMEDABAD WEST,GUJARAT,Right to Recall Party,0,10th Pass,149586.0,0.7931,0.048,1,5,1,0.0045,1
9394,Vedubhai Sirasat Kautikbhai,47,AHMEDABAD WEST,GUJARAT,Ambedkarite Party of India,0,8th Pass,3300.0,0.7931,0.048,1,3,0,0.0045,1
8490,Raju Parmar,68,AHMEDABAD WEST,GUJARAT,INC,0,Graduate,244053750.0,0.7931,0.048,3,1,3,0.0045,1
10037,Malhotra Pankajkumar Dayabhai (Doctor Saheb),45,AHMEDABAD WEST,GUJARAT,IND,0,Graduate Professional,4000.0,0.7931,0.048,1,3,3,0.0045,1
9389,Dipika Jitendrakumar Sutaria,49,AHMEDABAD WEST,GUJARAT,Manvadhikar National Party,0,12th Pass,25570000.0,0.7931,0.048,1,3,2,0.0045,1
9392,Vaghela Ashwinbhai Amrutbhai,37,AHMEDABAD WEST,GUJARAT,Bhartiya Tribal Party,0,8th Pass,492329.0,0.7931,0.048,1,4,0,0.0045,1
7725,Sangram Arunkaka Jagtap,34,AHMEDNAGAR,MAHARASHTRA,NCP,1,Graduate,61939253.0,0.8291,0.088,3,4,3,0.0047,4
10883,Kamal Dashrath Sawant,61,AHMEDNAGAR,MAHARASHTRA,IND,1,Graduate Professional,19660205.0,0.8291,0.088,1,1,3,0.0047,4
10886,Ramnath Gahininath Golhar,54,AHMEDNAGAR,MAHARASHTRA,IND,0,12th Pass,38085000.0,0.8291,0.088,1,2,2,0.0047,4
10889,Supekar Dnyandeo Narhari,70,AHMEDNAGAR,MAHARASHTRA,IND,0,5th Pass,1598872.0,0.8291,0.088,1,1,0,0.0047,4
8675,Farukh Ismail Shaikh,36,AHMEDNAGAR,MAHARASHTRA,Bharatiya Praja Surajya Paksha,0,8th Pass,1232478.0,0.8291,0.088,1,4,0,0.0047,4
10892,Shridhar Jakhuji Darekar,64,AHMEDNAGAR,MAHARASHTRA,IND,0,Graduate,17083133.0,0.8291,0.088,1,1,3,0.0047,4
8678,Kaliram Bahiru Popalghat,67,AHMEDNAGAR,MAHARASHTRA,Bhartiya Navjawan Sena (Paksha),0,10th Pass,58000.0,0.8291,0.088,1,1,1,0.0047,4
8512,Wakale Namdeo Arjun,51,AHMEDNAGAR,MAHARASHTRA,BSP,0,Graduate Professional,180499234.0,0.8291,0.088,3,2,3,0.0047,4
10884,Dattatraya Appa Waghmode,50,AHMEDNAGAR,MAHARASHTRA,IND,0,5th Pass,5139100.0,0.8291,0.088,1,2,0,0.0047,4
10887,Shaikh Abid Mohammad Hanif,46,AHMEDNAGAR,MAHARASHTRA,IND,0,12th Pass,-466570.0,0.8291,0.088,1,3,2,0.0047,4
10890,Sanjiv Baban Bhor,44,AHMEDNAGAR,MAHARASHTRA,IND,10,Others,7588737.0,0.8291,0.088,1,3,0,0.0047,4
8676,Dhiraj Motilal Batade,31,AHMEDNAGAR,MAHARASHTRA,Right to Recall Party,0,12th Pass,22000.0,0.8291,0.088,1,4,2,0.0047,4
8679,Sanjay Dagdu Sawant,25,AHMEDNAGAR,MAHARASHTRA,Bahujan Mukti Party,0,5th Pass,30000.0,0.8291,0.088,1,5,0,0.0047,4
8513,Sujay Radhakrishna Vikhe,37,AHMEDNAGAR,MAHARASHTRA,BJP,0,Doctorate,166040612.0,0.8291,0.088,3,4,5,0.0047,4
10882,Appasaheb Navnath Palve,32,AHMEDNAGAR,MAHARASHTRA,IND,0,Graduate Professional,15000.0,0.8291,0.088,1,4,3,0.0047,4
10885,Bhaskar Fakira Patole,38,AHMEDNAGAR,MAHARASHTRA,IND,0,10th Pass,290540.0,0.8291,0.088,1,4,1,0.0047,4
10888,Sainath Bhausaheb Ghorpade,33,AHMEDNAGAR,MAHARASHTRA,IND,1,8th Pass,2130000.0,0.8291,0.088,1,4,0,0.0047,4
10891,Sandip Laxman Sakat,38,AHMEDNAGAR,MAHARASHTRA,IND,1,10th Pass,24600.0,0.8291,0.088,1,4,1,0.0047,4
8677,Sudhakar Laxman Avhad,62,AHMEDNAGAR,MAHARASHTRA,Vanchit Bahujan Aaghadi,0,Graduate,12549000.0,0.8291,0.088,1,1,3,0.0047,4
9617,Bhagirath Chaudhary,64,AJMER,RAJASTHAN,BJP,0,12th Pass,75886190.0,0.6706,0.046,3,1,2,0.0279,2
9621,Mukesh Gena,31,AJMER,RAJASTHAN,IND,1,Graduate,5786000.0,0.6706,0.046,1,4,3,0.0279,2
11147,Riju Jhunjhunwala,40,AJMER,RAJASTHAN,INC,0,Graduate,547985546.0,0.6706,0.046,3,3,3,0.0279,2
9618,Durga Lal Regar,60,AJMER,RAJASTHAN,BSP,0,Post Graduate,40850458.0,0.6706,0.046,3,1,4,0.0279,2
11148,Vishram Babu,60,AJMER,RAJASTHAN,Ambedkarite Party of India,0,Post Graduate,25523539.0,0.6706,0.046,1,1,4,0.0279,2
9616,Pramod Kumar,38,AJMER,RAJASTHAN,IND,0,8th Pass,630000.0,0.6706,0.046,1,4,0,0.0279,2
9620,Soniya Regar,31,AJMER,RAJASTHAN,IND,0,12th Pass,61648.0,0.6706,0.046,1,4,2,0.0279,2
9626,Neeraj Kumar Pasi Advocate,36,AKBARPUR,UTTAR PRADESH,Justice Party,0,Graduate Professional,4050471.0,0.6972,0.147,1,4,3,0.0121,7
9629,Ramgopal,61,AKBARPUR,UTTAR PRADESH,Rashtriya Janutthan Party,0,Post Graduate,2858000.0,0.6972,0.147,1,1,4,0.0121,7
9639,Sunil Kumar,46,AKBARPUR,UTTAR PRADESH,Aajad Bharat Party (Democratic),0,Post Graduate,1183000.0,0.6972,0.147,1,3,4,0.0121,7
9646,Rajaram Pal,58,AKBARPUR,UTTAR PRADESH,INC,1,Graduate Professional,10497262.0,0.6972,0.147,3,2,3,0.0121,7
9627,Ashok Paswan,42,AKBARPUR,UTTAR PRADESH,Sabhi Jan Party,0,Post Graduate,19041563.0,0.6972,0.147,1,3,4,0.0121,7
