CANDIDATE_ID,CANDIDATE_NAME,AGE_GROUP_INDEX,CONSTITUENCY_INDEX,STATE_INDEX,PARTY_INDEX,NO_PENDING_CRIMINAL_CASES,EARNINGS_POINTS,STATE_LITERACY_RATE,STATE_SEAT_SHARE,PARTY_GRP_IDX,EDUCATION_GROUP_IDX,DELTA_STATE_VOTER_TURNOUT,NO_OF_PHASES,RE_CONTEST,SEX_INDEX,VOTING_PERCENTAGE
6951,KURUVA GORANTLA MADHAV,1,10,2,675,2,0,0.674,0.046,2,3,0.0524,1,0,0,0.5279
4811,N.KRISTAPPA,1,10,2,637,4,0,0.674,0.046,2,3,0.0524,1,0,0,0.4227
4810,K.T.SREEDHAR,1,10,2,243,1,0,0.674,0.046,3,4,0.0524,1,0,0,0.0203
6952,MITTA PARTHASARATHI,1,10,2,187,2,0,0.674,0.046,3,3,0.0524,1,0,0,0.0103
4809,S.RAM MOHAN,1,10,2,454,0,0,0.674,0.046,1,1,0.0524,1,0,0,0.0017
6955,RAMAMOHAN D.G.,1,10,2,244,0,0,0.674,0.046,1,2,0.0524,1,0,0,0.0017
6950,GOGULA PULAKUNTA JAYANTH,1,10,2,244,0,0,0.674,0.046,1,3,0.0524,1,0,0,0.0012
6953,MUGI SURYA PRAKASH,1,10,2,244,0,0,0.674,0.046,1,3,0.0524,1,0,0,0.001
6954,S.R.ANJANEYULU,1,10,2,244,0,0,0.674,0.046,1,4,0.0524,1,0,0,0.0009
4812,YEDUGURI SANDINTI AVINASH REDDY,1,11,2,675,4,0,0.674,0.046,2,4,0.0524,1,0,0,0.6379
4816,CHADIPIRALA ADI NARAYANA REDDY,1,11,2,637,0,0,0.674,0.046,2,4,0.0524,1,0,0,0.3279
4814,GUNDLAKUNTA SREERAMULU,1,11,2,243,0,0,0.674,0.046,3,2,0.0524,1,0,0,0.0068
6961,GUJJULA ESWARAIAH,1,11,2,197,1,0,0.674,0.046,3,4,0.0524,1,0,0,0.0051
6969,SRI RAMA CHANDRA SINGAREDDY,1,11,2,187,0,0,0.674,0.046,3,3,0.0524,1,0,0,0.0033
6971,VENU GOPAL RACHINENI,1,11,2,244,0,0,0.674,0.046,1,1,0.0524,1,0,0,0.0014
4625,SIVA CHANDRA REDDY KOMMA,1,11,2,76,0,0,0.674,0.046,1,4,0.0524,1,0,0,0.0012
6959,GONA PURUSHOTTAM REDDY,1,11,2,244,4,0,0.674,0.046,1,3,0.0524,1,0,0,0.0009
6956,NYAMATULLA SHAIK,1,11,2,244,0,0,0.674,0.046,1,3,0.0524,1,0,0,0.0006
4815,PEDAKALA VARALAKSHMI,1,11,2,454,0,0,0.674,0.046,1,3,0.0524,1,0,1,0.0006
6962,JAKKU CHENNA KRISHNA REDDY,1,11,2,244,1,0,0.674,0.046,1,1,0.0524,1,0,0,0.0005
4624,AMEEN PEERAN SHAIK,1,11,2,62,0,0,0.674,0.046,1,4,0.0524,1,0,0,0.0005
